doi_for_lookup,openalex_id,openalex_title,openalex_is_retracted,openalex_lookup_status,openalex_error,last_checked_at,next_check_at
10.1007/s12649-025-03232-0,https://openalex.org/W4414213113,Highly Digestible Protein from Oncorhynchus Mykiss Residues by Mechanical Separation,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s13197-025-06239-6,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1007/s13205-025-04666-y,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1007/s13337-025-00914-0,https://openalex.org/W4408647635,Effect of temperature on the replication of striped jack nervous necrosis virus in kidney cell line of rainbow trout (RTK),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s13353-024-00887-8,https://openalex.org/W4400041158,Transcript level of telomerase reverse-transcriptase (TERT) gene in the rainbow trout (Oncorhynchus mykiss) eggs with different developmental competence for gynogenesis,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s40152-024-00392-y,https://openalex.org/W4405181275,A governability lesson for the Blue Economy: the collapse of mobile salmon aquaculture in the Norwegian coastal zone,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s42452-025-06901-w,https://openalex.org/W4410049900,"Enhancing copper toxicity against Saprolegnia parasitica, a devastating oomycete pathogen in aquaculture",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s42729-025-02465-1,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1007/s44295-024-00046-z,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1016/j.aaf.2025.12.010,https://openalex.org/W7125604867,Impact of physical and sensory enrichment on the physiological status and disease resistance of triploid rainbow trout (Oncorhynchus mykiss),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.agwat.2025.109528,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1016/j.algal.2024.103798,https://openalex.org/W4404360757,Water treatment of recirculating aquaculture system (RAS) effluent water through microalgal biofilms,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.anifeedsci.2024.116201,https://openalex.org/W4405847062,Evaluation of the physical and chemical quality of Atlantic salmon feed with inclusion of full fat black soldier fly or mealworm meal: Extrusion trials and modelling,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.anifeedsci.2025.116608,https://openalex.org/W7115071059,Incorporating mushroom production by-product in mealworm (Tenebrio molitor) rearing: Implications for rainbow trout (Oncorhynchus mykiss) growth performance and nutrient utilization,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.anireprosci.2024.107659,https://openalex.org/W4404844043,"The phenotype, sex ratio and gonadal development in triploid hybrids of rainbow trout (Oncorhynchus mykiss) ♀ and brook trout (Salvelinus fontinalis) ♂",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.applanim.2025.106631,https://openalex.org/W4409729079,Changes in behaviour and serotonergic system of Atlantic salmon (Salmo salar) fry related to different levels of black soldier fly larvae meal inclusion in the diet: Exploring the use of nutritional enrichment for its use as positive welfare in aquaculture,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.applanim.2025.106857,https://openalex.org/W4415641828,Gas bubble venting: A novel behavioral indicator of stress in juvenile Atlantic salmon (Salmo salar),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2024.102203,https://openalex.org/W4399729440,"Effect of dietary iron (Fe) supplementation on growth performance, hematological parameters and anti-oxidant responses of coho salmon Oncorhynchus kisutch (Walbaum, 1792) post-smolts",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2024.102249,https://openalex.org/W4400604138,"Thermal tolerance has high heritability in Atlantic salmon, Salmo salar",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2024.102304,https://openalex.org/W4401529355,Improvement of the immunological and antioxidant capacity of rainbow trout (Oncorhynchus mykiss) by using the paraprobiotic Bacillus subtilis subsp. spizizenii,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2024.102504,https://openalex.org/W4404919927,Characterization of infectious salmon anaemia virus survival and infectivity in seawater,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2024.102512,https://openalex.org/W4404441491,"Complete replacement of fishmeal with unconventional animal protein sources: A comparative study of the effects of use of mealworm, earthworm and zooplankton on growth parameters, fatty acid composition and sensory profile rainbow trout",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2024.102540,https://openalex.org/W4404904402,"Interactive effects of triploidy induction and culture densities on growth performance and stress, immune, and metabolic responses in juvenile rainbow trout (Oncorhynchus mykiss)",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2024.102562,https://openalex.org/W4405433752,Implementing an environmental DNA/RNA-based approach to non-invasively investigate disease caused by Ichthyophthirius multifiliis,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2024.102601,https://openalex.org/W4405864222,Carbon footprint of alternative protein sources for Atlantic salmon (Salmo salar) aquaculture: A two-step systematic literature review,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
